Sub_ID,vol2_likely,vol2_tm1,vol2_tm2,vol2_tm3,vol2_sm1,vol2_sm2,vol2_sm3,vol2_diff,vol2_conf,vol5_likely,vol5_tm1,vol5_tm2,vol5_tm3,vol5_sm1,vol5_sm2,vol5_sm3,vol5_diff,vol5_conf,vol6_likely,vol6_tm1,vol6_tm2,vol6_tm3,vol6_sm1,vol6_sm2,vol6_sm3,vol6_diff,vol6_conf,vol7_likely,vol7_tm1,vol7_tm2,vol7_tm3,vol7_sm1,vol7_sm2,vol7_sm3,vol7_diff,vol7_conf,vol13_likely,vol13_tm1,vol13_tm2,vol13_tm3,vol13_sm1,vol13_sm2,vol13_sm3,vol13_diff,vol13_conf,vol16_likely,vol16_tm1,vol16_tm2,vol16_tm3,vol16_sm1,vol16_sm2,vol16_sm3,vol16_diff,vol16_conf,vol18_likely,vol18_tm1,vol18_tm2,vol18_tm3,vol18_sm1,vol18_sm2,vol18_sm3,vol18_diff,vol18_conf,vol19_likely,vol19_tm1,vol19_tm2,vol19_tm3,vol19_sm1,vol19_sm2,vol19_sm3,vol19_diff,vol19_conf,vol20_likely,vol20_tm1,vol20_tm2,vol20_tm3,vol20_sm1,vol20_sm2,vol20_sm3,vol20_diff,vol20_conf,vol22_likely,vol22_tm1,vol22_tm2,vol22_tm3,vol22_sm1,vol22_sm2,vol22_sm3,vol22_diff,vol22_conf,age
11,2,2,2,2,2,2,4,3,4,4,2,2,2,3,2,4,2,5,4,2,2,2,3,2,4,2,5,5,4,4,4,4,4,2,2,4,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,13,3,5,4,4,4,4,4,4,2,3,5,5,5,5,5,5,5,13,3,5,5,5,5,5,5,5,13,3,5,5,5,5,5,5,5,13,3,5,53
12,1,1,1,1,1,1,5,6,1,2,1,2,2,2,2,5,2,4,2,1,1,1,1,1,5,2,4,2,2,2,2,2,2,3,3,3,2,2,2,3,2,3,3,6,2,2,2,3,3,3,3,3,3,3,1,2,1,1,1,1,5,6,2,2,1,1,1,1,1,4,4,3,2,1,1,1,1,1,4,3,3,1,2,2,2,2,2,4,4,3,68
13,5,3,3,2,4,1,13,6,2,2,3,5,5,5,1,2,1,1,3,5,4,4,3,2,5,3,2,1,1,1,1,1,1,3,6,4,1,5,1,2,2,5,5,3,1,4,1,5,4,2,5,4,4,4,1,2,5,2,4,4,2,6,1,5,3,5,2,3,2,5,1,4,2,3,2,2,1,5,3,4,1,2,3,5,5,3,1,13,6,2,32
14,1,3,3,3,3,3,2,3,3,4,4,4,4,4,4,2,4,4,3,3,4,4,4,4,2,3,4,4,5,5,5,4,4,2,4,4,1,2,2,2,3,1,4,4,3,3,5,5,5,5,5,13,4,5,4,5,5,5,5,5,13,6,5,4,3,4,4,4,4,2,4,4,3,4,4,4,5,3,2,1,5,4,4,4,4,3,3,3,3,4,39
15,1,5,4,5,2,3,2,1,3,5,3,3,1,4,4,3,9,5,2,4,4,4,3,4,13,4,4,1,3,2,2,1,2,5,9,3,1,3,5,2,5,2,5,8,1,2,1,5,1,2,2,4,3,1,4,5,2,5,2,1,4,9,2,5,2,2,5,5,1,13,3,1,2,3,1,5,4,4,5,3,3,2,4,3,3,1,5,3,1,3,29
16,5,3,4,1,2,1,3,8,3,4,4,3,1,3,4,4,9,2,5,3,4,4,1,3,2,9,2,5,3,3,1,2,4,4,9,2,5,3,4,2,3,3,2,9,2,5,4,3,1,2,3,5,6,3,5,3,2,4,5,2,5,6,4,5,4,4,5,2,1,3,3,1,2,1,3,3,4,2,4,4,1,5,3,4,3,3,1,3,2,1,40
17,1,1,2,2,1,2,4,2,3,1,3,2,2,2,1,5,6,1,2,4,4,4,5,1,5,6,1,3,3,3,3,4,1,4,3,2,1,2,2,2,3,1,5,6,1,2,4,4,4,5,1,5,8,1,4,3,2,3,2,2,3,2,3,4,4,4,4,5,3,3,3,3,4,4,4,4,5,2,3,3,2,3,4,4,4,4,1,5,6,1,33
18,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,2,1,1,4,4,4,2,4,2,2,5,1,5,5,5,5,1,5,2,1,1,1,2,2,2,1,5,3,1,1,4,4,4,4,1,5,3,1,1,1,1,1,1,1,5,8,1,1,5,5,5,5,1,5,6,1,1,5,4,4,4,1,5,2,5,1,5,4,5,4,1,5,3,4,34
19,3,2,3,3,3,2,3,2,4,1,2,2,2,3,2,4,4,4,1,2,2,2,2,1,4,1,4,4,4,4,4,5,3,2,6,4,1,2,2,2,2,1,4,3,3,4,4,4,4,5,3,2,6,4,1,3,2,2,1,1,3,2,4,4,4,4,4,4,3,2,6,3,4,3,2,3,3,3,4,2,4,3,2,3,3,4,2,2,3,4,36
20,1,2,2,2,2,2,4,6,2,2,2,2,3,2,2,4,3,3,2,3,3,3,3,2,3,3,3,2,4,4,4,4,3,3,3,3,2,2,2,3,2,2,4,3,2,2,4,4,4,4,3,3,6,3,1,3,3,3,2,2,4,6,2,2,4,4,4,4,2,4,6,2,2,4,3,4,3,2,3,2,3,2,5,5,5,4,2,4,3,2,37
