startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,QID84,QID85,QID86,QID87,QID88,QID89,QID90,QID91,QID92,QID111,QID112,QID113,QID114,QID115,QID116,QID117,QID118,QID119,QID120,QID121,QID122,QID123,QID124,QID125,QID126,QID127,QID128,QID129,QID130,QID131,QID132,QID133,QID134,QID135,QID136,QID137,QID183,QID184,QID185,QID186,QID187,QID188,QID189,QID190,QID191,QID210,QID211,QID212,QID213,QID214,QID215,QID216,QID217,QID218,QID228,QID229,QID230,QID231,QID232,QID233,QID234,QID235,QID236,QID237,QID238,QID239,QID240,QID241,QID242,QID243,QID244,QID245,QID246,QID247,QID248,QID249,QID250,QID251,QID252,QID253,QID254,QID264,QID265,QID266,QID267,QID268,QID269,QID270,QID271,QID272,QID73_TEXT,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,Q84 - vol2_likely,Q85 - vol2_tm1,Q86 - vol2_tm2,Q87 - vol2_tm3,Q88 - vol2_sm1,Q89 - vol2_sm2,Q90 - vol2_sm3,Q91 - vol2_diff,Q92 - vol2_conf,Q111 - vol5_likely,Q112 - vol5_tm1,Q113 - vol5_tm2,Q114 - vol5_tm3,Q115 - vol5_sm1,Q116 - vol5_sm2,Q117 - vol5_sm3,Q118 - vol5_diff,Q119 - vol5_conf,Q120 - vol6_likely,Q121 - vol6_tm1,Q122 - vol6_tm2,Q123 - vol6_tm3,Q124 - vol6_sm1,Q125 - vol6_sm2,Q126 - vol6_sm3,Q127 - vol6_diff,Q128 - vol6_conf,Q129 - vol7_likely,Q130 - vol7_tm1,Q131 - vol7_tm2,Q132 - vol7_tm3,Q133 - vol7_sm1,Q134 - vol7_sm2,Q135 - vol7_sm3,Q136 - vol7_diff,Q137 - vol7_conf,Q183 - vol13_likely,Q184 - vol13_tm1,Q185 - vol13_tm2,Q186 - vol13_tm3,Q187 - vol13_sm1,Q188 - vol13_sm2,Q189 - vol13_sm3,Q190 - vol13_diff,Q191 - vol13_conf,Q210 - vol16_likely,Q211 - vol16_tm1,Q212 - vol16_tm2,Q213 - vol16_tm3,Q214 - vol16_sm1,Q215 - vol16_sm2,Q216 - vol16_sm3,Q217 - vol16_diff,Q218 - vol16_conf,Q228 - vol18_likely,Q229 - vol18_tm1,Q230 - vol18_tm2,Q231 - vol18_tm3,Q232 - vol18_sm1,Q233 - vol18_sm2,Q234 - vol18_sm3,Q235 - vol18_diff,Q236 - vol18_conf,Q237 - vol19_likely,Q238 - vol19_tm1,Q239 - vol19_tm2,Q240 - vol19_tm3,Q241 - vol19_sm1,Q242 - vol19_sm2,Q243 - vol19_sm3,Q244 - vol19_diff,Q245 - vol19_conf,Q246 - vol20_likely,Q247 - vol20_tm1,Q248 - vol20_tm2,Q249 - vol20_tm3,Q250 - vol20_sm1,Q251 - vol20_sm2,Q252 - vol20_sm3,Q253 - vol20_diff,Q254 - vol20_conf,Q264 - vol22_likely,Q265 - vol22_tm1,Q266 - vol22_tm2,Q267 - vol22_tm3,Q268 - vol22_sm1,Q269 - vol22_sm2,Q270 - vol22_sm3,Q271 - vol22_diff,Q272 - vol22_conf,Q73 - age,mTurkCode
9/8/2016 14:28,9/8/2016 14:38,IP Address,206.123.128.163,100,578,TRUE,9/8/2016 14:38,R_1jCFFiDg7VfAwaB,,,,,40.71110535,-73.94689941,anonymous,Somewhat unlikely,Slightly important,Slightly positive impact,Slightly,Probably won't,A little,Slightly confident,Somewhat easy,Very confident,Somewhat likely,Slightly important,Slightly positive impact,Slightly,Might or might not,A little,Slightly confident,Very easy,Extremely confident,Somewhat likely,Slightly important,Slightly positive impact,Slightly,Might or might not,A little,Slightly confident,Very easy,Extremely confident,Likely,Very important,Very positive impact,Very,Probably will,A lot,Very confident,Very easy,Very confident,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Extremely easy,Extremely confident,Likely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Somewhat easy,Extremely confident,Somewhat likely,Very important,Very positive impact,Very,Probably will,A lot,Very confident,Somewhat easy,Extremely confident,Likely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Somewhat easy,Extremely confident,Likely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Somewhat easy,Extremely confident,Likely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Somewhat easy,Extremely confident,53,727986
9/8/2016 14:21,9/8/2016 14:26,IP Address,68.227.247.172,100,337,TRUE,9/8/2016 14:26,R_3HLaFU4ITlD3WNq,,,,,33.50759888,-112.0582962,anonymous,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Somewhat difficult,Not confident at all,Somewhat unlikely,Not at all important,Slightly positive impact,Slightly,Probably won't,A little,Not confident at all,Very easy,Very confident,Somewhat unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Very easy,Very confident,Somewhat unlikely,Slightly important,Slightly positive impact,Slightly,Probably won't,A little,Moderately confident,Somewhat easy,Moderately confident,Somewhat unlikely,Slightly important,Slightly positive impact,Moderately,Probably won't,A moderate amount,Moderately confident,Somewhat difficult,Slightly confident,Somewhat unlikely,Slightly important,Moderately positive impact,Moderately,Might or might not,A moderate amount,Moderately confident,Somewhat easy,Moderately confident,Unlikely,Slightly important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Somewhat difficult,Slightly confident,Somewhat unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Slightly confident,Neither easy nor difficult,Moderately confident,Somewhat unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Slightly confident,Somewhat easy,Moderately confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Probably won't,A little,Slightly confident,Neither easy nor difficult,Moderately confident,68,199897
9/8/2016 14:05,9/8/2016 14:10,IP Address,67.186.29.207,100,303,TRUE,9/8/2016 14:10,R_2rx7po0L5lf6p0A,,,,,40.33560181,-79.55069733,anonymous,Likely,Moderately important,Moderately positive impact,Slightly,Probably will,Not at all,Extremely confident,Somewhat difficult,Slightly confident,Somewhat unlikely,Moderately important,Extremely positive impact,Extremely,Definitely will,Not at all,Very confident,Extremely easy,Not confident at all,Neither likely nor unlikely,Extremely important,Very positive impact,Very,Might or might not,A little,Not confident at all,Somewhat easy,Slightly confident,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Moderately confident,Somewhat difficult,Very confident,Unlikely,Extremely important,No positive impact at all,Slightly,Probably won't,A great deal,Not confident at all,Somewhat easy,Not confident at all,Somewhat likely,Not at all important,Extremely positive impact,Very,Probably won't,A great deal,Slightly confident,Neither easy nor difficult,Very confident,Unlikely,Slightly important,Extremely positive impact,Slightly,Probably will,A lot,Very confident,Somewhat difficult,Not confident at all,Likely,Moderately important,Extremely positive impact,Slightly,Might or might not,A little,Not confident at all,Extremely easy,Very confident,Somewhat unlikely,Moderately important,Slightly positive impact,Slightly,Definitely won't,A great deal,Moderately confident,Neither easy nor difficult,Not confident at all,Somewhat unlikely,Moderately important,Extremely positive impact,Extremely,Might or might not,Not at all,Extremely confident,Somewhat difficult,Slightly confident,32,219582
9/8/2016 14:01,9/8/2016 14:10,IP Address,66.232.86.58,100,525,TRUE,9/8/2016 14:10,R_2arWlGtEwAGnKql,,,,,44.6519928,-114.1542969,anonymous,Unlikely,Moderately important,Moderately positive impact,Moderately,Might or might not,A moderate amount,Very confident,Somewhat easy,Moderately confident,Somewhat likely,Very important,Very positive impact,Very,Probably will,A lot,Very confident,Neither easy nor difficult,Very confident,Neither likely nor unlikely,Moderately important,Very positive impact,Very,Probably will,A lot,Very confident,Somewhat easy,Very confident,Somewhat likely,Extremely important,Extremely positive impact,Extremely,Probably will,A lot,Very confident,Neither easy nor difficult,Very confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Might or might not,Not at all,Slightly confident,Neither easy nor difficult,Moderately confident,Neither likely nor unlikely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Neither easy nor difficult,Extremely confident,Somewhat likely,Extremely important,Extremely positive impact,Extremely,Definitely will,A great deal,Extremely confident,Somewhat difficult,Extremely confident,Somewhat likely,Moderately important,Very positive impact,Very,Probably will,A lot,Very confident,Neither easy nor difficult,Very confident,Neither likely nor unlikely,Very important,Very positive impact,Very,Definitely will,A moderate amount,Very confident,Extremely easy,Extremely confident,Somewhat likely,Very important,Very positive impact,Very,Might or might not,A moderate amount,Moderately confident,Somewhat easy,Very confident,39,129886
9/8/2016 13:50,9/8/2016 13:51,IP Address,67.186.29.207,100,80,TRUE,9/8/2016 13:51,R_WiIsFe0zsmqru1j,,,,,40.33560181,-79.55069733,anonymous,Unlikely,Extremely important,Very positive impact,Extremely,Probably won't,A moderate amount,Very confident,Extremely easy,Moderately confident,Likely,Moderately important,Moderately positive impact,Not at all,Probably will,A lot,Moderately confident,Extremely difficult,Extremely confident,Somewhat unlikely,Very important,Very positive impact,Very,Might or might not,A lot,Extremely confident,Neither easy nor difficult,Very confident,Unlikely,Moderately important,Slightly positive impact,Slightly,Definitely won't,A little,Not confident at all,Extremely difficult,Moderately confident,Unlikely,Moderately important,Extremely positive impact,Slightly,Definitely will,A little,Not confident at all,Very difficult,Not confident at all,Somewhat unlikely,Not at all important,Extremely positive impact,Not at all,Probably won't,A little,Slightly confident,Somewhat easy,Not confident at all,Somewhat likely,Extremely important,Slightly positive impact,Extremely,Probably won't,Not at all,Slightly confident,Extremely difficult,Slightly confident,Likely,Slightly important,Slightly positive impact,Extremely,Definitely will,Not at all,Extremely confident,Somewhat easy,Not confident at all,Somewhat unlikely,Moderately important,No positive impact at all,Extremely,Probably will,A lot,Not confident at all,Somewhat easy,Moderately confident,Somewhat unlikely,Very important,Moderately positive impact,Moderately,Definitely won't,A great deal,Moderately confident,Extremely easy,Moderately confident,29,788967
9/8/2016 13:40,9/8/2016 13:46,IP Address,8.24.177.50,100,364,TRUE,9/8/2016 13:46,R_3h48BNGdJTv9uVC,,,,,25.7631073,-80.19110107,anonymous,Likely,Moderately important,Very positive impact,Not at all,Probably won't,Not at all,Moderately confident,Very difficult,Moderately confident,Somewhat likely,Very important,Moderately positive impact,Not at all,Might or might not,A lot,Slightly confident,Extremely difficult,Slightly confident,Likely,Moderately important,Very positive impact,Very,Definitely won't,A moderate amount,Very confident,Extremely difficult,Slightly confident,Likely,Moderately important,Moderately positive impact,Not at all,Probably won't,A lot,Slightly confident,Extremely difficult,Slightly confident,Likely,Moderately important,Very positive impact,Slightly,Might or might not,A moderate amount,Very confident,Extremely difficult,Slightly confident,Likely,Very important,Moderately positive impact,Not at all,Probably won't,A moderate amount,Not confident at all,Somewhat difficult,Moderately confident,Likely,Moderately important,Slightly positive impact,Very,Definitely will,A little,Not confident at all,Somewhat difficult,Very confident,Likely,Very important,Very positive impact,Extremely,Probably won't,Not at all,Moderately confident,Somewhat easy,Not confident at all,Somewhat unlikely,Not at all important,Moderately positive impact,Moderately,Probably will,A little,Slightly confident,Neither easy nor difficult,Not confident at all,Likely,Moderately important,Very positive impact,Moderately,Might or might not,Not at all,Moderately confident,Very easy,Not confident at all,40,222919
9/8/2016 13:25,9/8/2016 13:35,IP Address,184.63.222.172,100,599,TRUE,9/8/2016 13:35,R_VL10zdpKpBLDsHv,,,,,37.57749939,-83.71399689,anonymous,Unlikely,Not at all important,Slightly positive impact,Slightly,Definitely won't,A little,Slightly confident,Very easy,Moderately confident,Unlikely,Moderately important,Slightly positive impact,Slightly,Probably won't,Not at all,Not confident at all,Somewhat difficult,Not confident at all,Somewhat unlikely,Very important,Very positive impact,Very,Definitely will,Not at all,Not confident at all,Somewhat difficult,Not confident at all,Neither likely nor unlikely,Moderately important,Moderately positive impact,Moderately,Probably will,Not at all,Slightly confident,Somewhat easy,Slightly confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Might or might not,Not at all,Not confident at all,Somewhat difficult,Not confident at all,Somewhat unlikely,Very important,Very positive impact,Very,Definitely will,Not at all,Not confident at all,Very difficult,Not confident at all,Somewhat likely,Moderately important,Slightly positive impact,Moderately,Probably won't,A little,Moderately confident,Very easy,Moderately confident,Somewhat likely,Very important,Very positive impact,Very,Definitely will,A moderate amount,Moderately confident,Somewhat easy,Moderately confident,Somewhat likely,Very important,Very positive impact,Very,Definitely will,A little,Moderately confident,Somewhat easy,Slightly confident,Neither likely nor unlikely,Very important,Very positive impact,Very,Probably will,Not at all,Not confident at all,Somewhat difficult,Not confident at all,33,519898
9/8/2016 13:25,9/8/2016 13:31,IP Address,71.164.252.228,100,397,TRUE,9/8/2016 13:31,R_1P1aa6FOjalXRwL,,,,,33.00349426,-96.90000153,anonymous,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Extremely easy,Not confident at all,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Very easy,Not confident at all,Unlikely,Very important,Very positive impact,Very,Probably won't,A lot,Very confident,Very easy,Extremely confident,Unlikely,Extremely important,Extremely positive impact,Extremely,Definitely will,Not at all,Not confident at all,Very easy,Not confident at all,Unlikely,Not at all important,Slightly positive impact,Slightly,Probably won't,Not at all,Not confident at all,Somewhat easy,Not confident at all,Unlikely,Very important,Very positive impact,Very,Probably will,Not at all,Not confident at all,Somewhat easy,Not confident at all,Unlikely,Not at all important,No positive impact at all,Not at all,Definitely won't,Not at all,Not confident at all,Very difficult,Not confident at all,Unlikely,Extremely important,Extremely positive impact,Extremely,Definitely will,Not at all,Not confident at all,Somewhat difficult,Not confident at all,Unlikely,Extremely important,Very positive impact,Very,Probably will,Not at all,Not confident at all,Very easy,Extremely confident,Unlikely,Extremely important,Very positive impact,Extremely,Probably will,Not at all,Not confident at all,Somewhat easy,Very confident,34,957952
9/8/2016 13:02,9/8/2016 13:23,IP Address,75.97.156.47,100,1276,TRUE,9/8/2016 13:23,R_3Pob89x2ccwEL0O,,,,,41.228302,-75.79350281,anonymous,Neither likely nor unlikely,Slightly important,Moderately positive impact,Moderately,Might or might not,A little,Moderately confident,Very easy,Very confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Might or might not,A little,Slightly confident,Neither easy nor difficult,Very confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Probably won't,Not at all,Slightly confident,Extremely easy,Very confident,Somewhat likely,Very important,Very positive impact,Very,Definitely will,A moderate amount,Very confident,Somewhat difficult,Very confident,Unlikely,Slightly important,Slightly positive impact,Slightly,Probably won't,Not at all,Slightly confident,Somewhat easy,Moderately confident,Somewhat likely,Very important,Very positive impact,Very,Definitely will,A moderate amount,Very confident,Somewhat difficult,Very confident,Unlikely,Moderately important,Slightly positive impact,Slightly,Definitely won't,Not at all,Moderately confident,Very easy,Very confident,Somewhat likely,Very important,Very positive impact,Very,Probably will,A moderate amount,Very confident,Somewhat difficult,Moderately confident,Somewhat likely,Moderately important,Slightly positive impact,Moderately,Might or might not,A moderate amount,Slightly confident,Very easy,Very confident,Neither likely nor unlikely,Slightly important,Moderately positive impact,Moderately,Probably will,A little,Very confident,Somewhat easy,Very confident,36,544841
